program_id,program_name,category,delivery_mode,duration_hours,cost_per_participant_usd,avg_instructor_rating_out_of_5,is_mandatory
PRG001,Foundations of People Leadership,Leadership,In-person,24,950,4.24,False
PRG002,Advanced Executive Leadership,Leadership,In-person,40,2200,4.04,False
PRG003,Coaching for Managers,Leadership,Blended,16,700,3.81,False
PRG004,Leading Remote Teams,Leadership,Online,8,250,4.31,False
PRG005,Conflict Resolution for Leaders,Leadership,In-person,12,500,4.29,False
PRG006,Python for Data Analysis,Technical,Online,30,400,3.53,False
PRG007,Advanced SQL & Data Modeling,Technical,Online,20,300,4.07,False
PRG008,Cloud Infrastructure Fundamentals (AWS),Technical,Blended,35,850,4.4,False
PRG009,Cybersecurity Essentials,Technical,Online,15,350,4.61,False
PRG010,Software Architecture Patterns,Technical,In-person,28,1100,4.35,False
PRG011,Agile & Scrum Mastery,Technical,Blended,16,500,3.57,False
PRG012,DevOps & CI/CD Practices,Technical,Online,22,450,3.73,False
PRG013,Workplace Harassment Prevention,Compliance,Online,3,60,3.98,True
PRG014,Data Privacy & GDPR Essentials,Compliance,Online,4,80,4.59,True
PRG015,Code of Conduct & Ethics,Compliance,Online,2,40,3.89,True
PRG016,Health & Safety Standards,Compliance,Online,3,55,4.47,True
PRG017,Anti-Bribery & Corruption Training,Compliance,Online,3,65,3.88,True
PRG018,Effective Communication Skills,Soft Skills,In-person,10,320,4.29,False
PRG019,Emotional Intelligence at Work,Soft Skills,Blended,12,400,3.77,False
PRG020,Time Management & Productivity,Soft Skills,Online,6,150,4.03,False
PRG021,Cross-Cultural Collaboration,Soft Skills,Online,8,220,3.7,False
PRG022,Presentation & Storytelling Skills,Soft Skills,In-person,10,350,4.61,False
PRG023,Negotiation Fundamentals,Soft Skills,Blended,14,480,3.86,False
PRG024,Consultative Selling Techniques,Sales Enablement,In-person,18,700,3.56,False
PRG025,Enterprise Account Management,Sales Enablement,Blended,20,850,3.53,False
PRG026,Sales Negotiation Mastery,Sales Enablement,In-person,16,650,4.07,False
PRG027,CRM & Pipeline Optimization,Sales Enablement,Online,10,280,3.94,False
PRG028,Customer Success Fundamentals,Sales Enablement,Online,12,300,4.33,False
PRG029,Customer Service Excellence,Customer Experience,Blended,14,380,4.02,False
PRG030,Handling Difficult Conversations,Customer Experience,In-person,8,260,4.51,False
PRG031,Product Knowledge Bootcamp,Customer Experience,Online,20,300,3.97,False
